id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,airing_ranking
48583,Shingeki no Kyojin: The Final Season Part 2,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1948/120625.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1948/120625l.jpg'}",2022-01-10,2022-04-04,"Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.

Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.

Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.

[Written by MAL Rewrite]
",9.08,5.0,190,736361,203448,white,2021-03-28T16:06:18+00:00,2022-03-22T13:18:40+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '00:05'}",manga,1435,r,,"[{'id': 569, 'name': 'MAPPA'}]","{'status': {'watching': '475842', 'completed': '174', 'on_hold': '5158', 'dropped': '2404', 'plan_to_watch': '252980'}, 'num_list_users': 736558}",1
40834,Ousama Ranking,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1347/117616.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1347/117616l.jpg'}",2021-10-15,2022-03-25,"The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness.

However, while Bojji may not be physically strong, he is certainly not weak of heart. When a chance encounter with a shadow creature should have left him traumatized, it instead makes him believe that he has found a friend amidst those who only choose to notice his shortcomings. He starts meeting with Kage, the shadow, regularly, to the point where even the otherwise abrasive creature begins to warm up to him.

Kage and Bojji's unlikely friendship lays the budding foundations of the prince's journey, one where he intends to conquer his fears and insecurities. Despite the constant ridicule he faces, Bojji resolves to fulfill his desire of becoming the best king he can be.

[Written by MAL Rewrite]",8.79,31.0,574,318964,95331,white,2019-12-08T10:38:58+00:00,2022-03-22T12:52:55+00:00,tv,currently_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}]",23,"{'year': 2021, 'season': 'fall'}","{'day_of_the_week': 'friday', 'start_time': '00:55'}",web_manga,1370,pg_13,"The sign language depicted in Ousama Ranking is supervised by the Tokyo Foundation of the Deaf. The series was released on Blu-ray and DVD from January 12, 2022 to July 20, 2022.","[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '205453', 'completed': '31', 'on_hold': '5970', 'dropped': '2876', 'plan_to_watch': '104711'}, 'num_list_users': 319041}",2
21,One Piece,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/73245.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/73245l.jpg'}",1999-10-20,,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ",8.63,66.0,26,1811880,1019858,white,2005-11-11T01:20:50+00:00,2022-03-22T13:03:04+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",0,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '09:30'}",manga,1440,pg_13,"Several anime-original arcs have been adapted into light novels, and the series has inspired 40+ video games as of 2021.","[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '1226947', 'completed': '8', 'on_hold': '234587', 'dropped': '161227', 'plan_to_watch': '189090'}, 'num_list_users': 1811859}",3
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1896/119844.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1896/119844l.jpg'}",2021-12-01,,"In Florida, 2011, Jolyne Kuujou sits in a jail cell like her father Joutarou once did; yet this situation is not of her own choice. Framed for a crime she didn’t commit, and manipulated into serving a longer sentence, Jolyne is ready to resign to a dire fate as a prisoner of Green Dolphin Street Jail. Though all hope seems lost, a gift from Joutarou ends up awakening her latent abilities, manifesting into her Stand, Stone Free. Now armed with the power to change her fate, Jolyne sets out to find an escape from the stone ocean that holds her.

However, she soon discovers that her incarceration is merely a small part of a grand plot: one that not only takes aim at her family, but has additional far-reaching consequences. What's more, the mastermind is lurking within the very same prison, and is under the protection of a lineup of menacing Stand users. Finding unlikely allies to help her cause, Jolyne sets course to stop their plot, clear her name, and take back her life.

[Written by MAL Rewrite]",8.54,97.0,606,304935,94173,white,2021-04-04T10:36:45+00:00,2022-03-22T12:04:09+00:00,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 27, 'name': 'Shounen'}]",0,"{'year': 2021, 'season': 'fall'}",,manga,1469,r,,"[{'id': 287, 'name': 'David Production'}]","{'status': {'watching': '167062', 'completed': '42', 'on_hold': '22094', 'dropped': '1019', 'plan_to_watch': '114742'}, 'num_list_users': 304959}",4
49721,Karakai Jouzu no Takagi-san 3,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1861/120361.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1861/120361l.jpg'}",2022-01-08,2022-03-26,"As summer break comes to an end, Nishikata is stoked to try out his newest pranks and finally outdo his classmate Takagi once and for all. Despite his losing streak, he is slowly getting to know the unrelenting workings of her crafty mind. However, he soon realizes that Takagi's motivations behind her teasing may not be what he initially assumed. One thing is certain, though: each fun-filled day of strategizing and competing brings the two closer than ever.

[Written by MAL Rewrite]",8.46,133.0,1581,109105,17945,white,2021-09-01T12:38:03+00:00,2022-03-22T08:26:12+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 36, 'name': 'Slice of Life'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'saturday', 'start_time': '01:25'}",manga,1448,pg_13,,"[{'id': 247, 'name': 'Shin-Ei Animation'}]","{'status': {'watching': '54138', 'completed': '15', 'on_hold': '1515', 'dropped': '713', 'plan_to_watch': '52755'}, 'num_list_users': 109136}",5
44042,Holo no Graffiti,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1259/110227.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1259/110227l.jpg'}",2019-05-05,,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps.

[Written by MAL Rewrite]",8.41,152.0,2786,43334,14888,white,2020-11-18T08:13:51+00:00,2022-03-22T03:51:44+00:00,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}]",0,"{'year': 2019, 'season': 'spring'}",,other,110,pg_13,,"[{'id': 2167, 'name': 'Hololive Production'}]","{'status': {'watching': '19719', 'completed': 0, 'on_hold': '2100', 'dropped': '1837', 'plan_to_watch': '19678'}, 'num_list_users': 43334}",6
48736,Sono Bisque Doll wa Koi wo Suru,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1179/119897.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1179/119897l.jpg'}",2022-01-09,2022-03-27,"High school student Wakana Gojou spends his days perfecting the art of making hina dolls, hoping to eventually reach his grandfather's level of expertise. While his fellow teenagers busy themselves with pop culture, Gojou finds bliss in sewing clothes for his dolls. Nonetheless, he goes to great lengths to keep his unique hobby a secret, as he believes that he would be ridiculed were it revealed. 

Enter Marin Kitagawa, an extraordinarily pretty girl whose confidence and poise are in stark contrast to Gojou's meekness. It would defy common sense for the friendless Gojou to mix with the likes of Kitagawa, who is always surrounded by her peers. However, the unimaginable happens when Kitagawa discovers Gojou's prowess with a sewing machine and brightly confesses to him about her own hobby: cosplay. Because her sewing skills are pitiable, she decides to enlist his help.

As Gojou and Kitagawa work together on one cosplay outfit after another, they cannot help but grow close—even though their lives are worlds apart.

[Written by MAL Rewrite]
",8.36,184.0,353,491962,132381,white,2021-04-13T17:50:35+00:00,2022-03-22T13:15:02+00:00,tv,currently_airing,"[{'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'sunday', 'start_time': '00:00'}",manga,1420,pg_13,,"[{'id': 1835, 'name': 'CloverWorks'}]","{'status': {'watching': '348189', 'completed': '160', 'on_hold': '4831', 'dropped': '5222', 'plan_to_watch': '133668'}, 'num_list_users': 492070}",7
49114,Vanitas no Karte Part 2,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1247/120579.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1247/120579l.jpg'}",2022-01-15,2022-04-02,"Vanitas and Noé Archiviste head out to the town of Gévaudan in search of the ""Beast,"" an enormous wolf-like creature that has slaughtered hundreds of people. Suspecting that the Beast is a curse-bearing vampire, Vanitas primarily aims to heal it using the powers of his grimoire.

Along the way, the two get separated and suddenly travel back to the past—to the exact moment the Beast is lurking in the woods. After a battle against the gigantic wolf and a vampire hunter, Vanitas decides to team up with Jeanne in order to find Noé. Despite being allies, Jeanne's goal is the opposite of Vanitas', as she was tasked to kill the Beast—suspecting it may be someone she used to know.

Meanwhile, a severely wounded Noé is picked up by the mysterious Chloé d'Apchier and her servant. Like Noé, Chloé is a vampire whose existence was erased from the public's knowledge. She has been a guardian for future generations and once tried to find a way to become human again. While Noé is grateful to Chloé for her hospitality, little does he know that she might be siding with forces far more dangerous than the Beast itself.

[Written by MAL Rewrite]
",8.21,312.0,1311,140610,20211,white,2021-06-05T15:15:09+00:00,2022-03-22T12:42:12+00:00,tv,currently_airing,"[{'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'saturday', 'start_time': '00:00'}",manga,1420,r,,"[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '69038', 'completed': '20', 'on_hold': '1841', 'dropped': '964', 'plan_to_watch': '68812'}, 'num_list_users': 140675}",8
235,Detective Conan,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/7/75199.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/7/75199l.jpg'}",1996-01-08,,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",8.16,363.0,615,301637,138985,white,2005-11-13T02:32:28+00:00,2022-03-22T09:00:01+00:00,tv,currently_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 39, 'name': 'Police'}, {'id': 27, 'name': 'Shounen'}]",0,"{'year': 1996, 'season': 'winter'}","{'day_of_the_week': 'saturday', 'start_time': '18:00'}",manga,1500,pg_13,"In 2003, FUNimation licensed the first 104 episodes of the series for North American production under the name Case Closed. They later decided to stop pursuing more episodes past episode 123 due to poor sales. In 2014, Crunchyroll obtained a license to stream simulcast episodes of Detective Conan on their website starting with episode 754. 

Winner of the Animation Award (DIVE Award) of the 2010 Japanese Movie Critics Awards.","[{'id': 73, 'name': 'TMS Entertainment'}]","{'status': {'watching': '138092', 'completed': '3', 'on_hold': '64303', 'dropped': '42316', 'plan_to_watch': '56931'}, 'num_list_users': 301645}",9
44055,Sasaki to Miyano,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1182/119308.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1182/119308l.jpg'}",2022-01-10,2022-03-28,"Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him.

The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic.

Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop.

[Written by MAL Rewrite]
",8.04,499.0,1742,96490,16010,gray,2020-11-20T08:13:53+00:00,2022-03-22T08:51:54+00:00,tv,currently_airing,"[{'id': 28, 'name': 'Boys Love'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '00:30'}",manga,1430,pg_13,,"[{'id': 37, 'name': 'Studio Deen'}]","{'status': {'watching': '49973', 'completed': '12', 'on_hold': '1268', 'dropped': '1989', 'plan_to_watch': '43246'}, 'num_list_users': 96488}",10
42670,Princess Connect! Re:Dive Season 2,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1906/117145.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1906/117145l.jpg'}",2022-01-11,,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki's memories, Karyl's allegiance, and Pecorine's heritage begin to come together—seemingly forming the truth that makes up the world's very foundation.

[Written by MAL Rewrite]
",7.87,753.0,1977,79494,9670,white,2020-08-13T15:09:10+00:00,2022-03-22T12:39:34+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'tuesday', 'start_time': '00:00'}",game,1380,pg_13,"Princess Connect! Re:Dive Season 2 was released on Blu-ray in three volumes from March 22, 2022 to May 17, 2022.","[{'id': 1893, 'name': 'CygamesPictures'}]","{'status': {'watching': '32376', 'completed': '8', 'on_hold': '1032', 'dropped': '1024', 'plan_to_watch': '45071'}, 'num_list_users': 79511}",11
48438,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1454/117626.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1454/117626l.jpg'}",2021-09-10,2022-09-10,"The story takes place shortly before Cartaphilus took a nap and Chise became an auditor at the academy.

Elias and his friends help Chise prepare for the academy, where in the middle of everyday life, Spriggan visits the mansion on a spooky horse with the words, ""The appearance of the ghost hunting association is unusual this time.""

Gabriel, an ordinary boy who just moved from London, was bored of his environment of parting with friends, being in an unfamiliar location, and everything else. Sitting by the window and glancing beyond, he spotted a purple smoke and decided to chase after it, looking to escape his boredom. Though it should not, the world of the boy begins to converge with the wizards, who live on the other side behind a thick veil.

(Source: MAL News)",7.81,859.0,2744,44647,2013,white,2021-03-10T03:45:44+00:00,2022-03-21T16:27:19+00:00,ova,currently_airing,"[{'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 36, 'name': 'Slice of Life'}]",3,"{'year': 2021, 'season': 'summer'}",,manga,1371,pg_13,"The OVA episodes will be bundled with volumes 16–18, with the 16th volume shipping on September 10.","[{'id': 2205, 'name': 'Studio Kafka'}]","{'status': {'watching': '7925', 'completed': '1', 'on_hold': '1788', 'dropped': '156', 'plan_to_watch': '34774'}, 'num_list_users': 44644}",12
966,Crayon Shin-chan,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/10/59897.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/10/59897l.jpg'}",1992-04-13,,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",7.74,975.0,2132,70194,34300,white,2006-05-09T06:45:29+00:00,2022-03-21T23:30:22+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}]",0,"{'year': 1992, 'season': 'spring'}","{'day_of_the_week': 'friday', 'start_time': '19:30'}",manga,1260,pg,"The first English dubbed version was produced with many famous voice actors through 2001–2002 by Vitello Productions. In 2004, Phuuz Entertainment produced a continuation of the Vitello dub with different Los Angeles-based voice actors. The Phuuz and Vitello dub aired in the United Kingdom, Australia, and Republic of Ireland, and translations of these dubs aired in Europe and Latin America. The dubs were close to the original but had seen some censorship. The English dubbed version by Funimation was produced in 2005, featuring a Texas-based cast of voice actors, and was altered in comparison to the original—sexual references, dark humor, and references to popular American culture were added later on. Additionally, many non-existent backstories and different personalities were created.

Crayon Shin-chan has also been adapted into video games, mobile games and tons of anime movies.","[{'id': 247, 'name': 'Shin-Ei Animation'}]","{'status': {'watching': '27035', 'completed': '4', 'on_hold': '15122', 'dropped': '15837', 'plan_to_watch': '12195'}, 'num_list_users': 70193}",13
49123,BanG Dream! Garupa☆Pico Fever!,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1724/117808.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1724/117808l.jpg'}",2021-10-07,,The third season of the mini series starring the girls of BanG Dream!,7.69,1097.0,8326,3370,660,white,2021-06-06T16:40:25+00:00,2022-03-17T15:26:00+00:00,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}]",0,"{'year': 2021, 'season': 'fall'}",,manga,186,pg_13,,[],"{'status': {'watching': '1937', 'completed': 0, 'on_hold': '70', 'dropped': '64', 'plan_to_watch': '1301'}, 'num_list_users': 3372}",14
51083,Douluo Dalu: Feng Qi Tang Men,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1224/121040.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1224/121040l.jpg'}",2022-02-19,2022-05-14,Twelfth part of Douluo Dalu.,7.63,1251.0,10645,1364,297,white,2022-02-19T07:33:52+00:00,2022-03-11T21:28:05+00:00,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 17, 'name': 'Martial Arts'}]",13,"{'year': 2022, 'season': 'winter'}",,novel,1200,pg_13,Starts from episode 196 in the series (or Season 2 – Episode 170).,"[{'id': 1768, 'name': 'Sparkly Key Animation Studio'}]","{'status': {'watching': '996', 'completed': 0, 'on_hold': '39', 'dropped': '23', 'plan_to_watch': '306'}, 'num_list_users': 1364}",15
8687,Doraemon (2005),"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/23935.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/23935l.jpg'}",2005-04-22,,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. 

It is the 2005 version of 1979 series, with certain changes in the animation and other things.

Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.

(Source: Wikipedia)",7.6,1317.0,4542,16010,7282,white,2010-04-24T19:45:34+00:00,2022-03-17T06:08:54+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",0,"{'year': 2005, 'season': 'spring'}","{'day_of_the_week': 'friday', 'start_time': '19:00'}",manga,1500,pg,,"[{'id': 247, 'name': 'Shin-Ei Animation'}]","{'status': {'watching': '6579', 'completed': '3', 'on_hold': '2655', 'dropped': '3333', 'plan_to_watch': '3439'}, 'num_list_users': 16009}",16
42886,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1225/121124.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1225/121124l.jpg'}",2022-03-04,2022-05-13,Continuation of the Ginga Eiyuu Densetsu: Die Neue These series.,7.57,1422.0,5533,9679,208,white,2020-09-15T02:38:54+00:00,2022-03-21T22:49:28+00:00,movie,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",3,"{'year': 2022, 'season': 'winter'}",,novel,0,r,,"[{'id': 10, 'name': 'Production I.G'}]","{'status': {'watching': '1060', 'completed': 0, 'on_hold': '73', 'dropped': '24', 'plan_to_watch': '8522'}, 'num_list_users': 9679}",17
48553,Akebi-chan no Sailor-fuku,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1820/120520.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1820/120520l.jpg'}",2022-01-09,2022-03-27,"Ever since she was young, Komichi Akebi has always adored sailor uniforms, even going so far as to ask her mother to sew one if she succeeds in getting into her mother's alma mater, Roubai Academy. And thus, when she gets accepted into the prestigious school, Komichi is ecstatic. However, much to her surprise, the middle school no longer uses sailor uniforms as its dress code—making Komichi stand out from her schoolmates. Despite this, Komichi is granted permission to continue wearing the traditional attire. 

With renewed confidence, Komichi meets fascinating classmates as they experience school life together. Under the colorful shower of blossoming prospects, an exciting tomorrow awaits them!

[Written by MAL Rewrite]",7.56,1431.0,1652,103782,16886,white,2021-03-26T04:14:11+00:00,2022-03-22T13:08:05+00:00,tv,currently_airing,"[{'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'sunday', 'start_time': '00:30'}",manga,1420,pg_13,"Akebi-chan no Sailor-fuku was released on Blu-ray and DVD in six volumes from April 27, 2022 to September 28, 2022.","[{'id': 1835, 'name': 'CloverWorks'}]","{'status': {'watching': '52305', 'completed': '6', 'on_hold': '2075', 'dropped': '4105', 'plan_to_watch': '45292'}, 'num_list_users': 103783}",18
36064,Fate/Grand Order,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1418/121537.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1418/121537l.jpg'}",2014-12-27,,Assorted commercials and collaborations for the Fate/Grand Order mobile RPG. These short animations are posted to Type-Moon's official YouTube channel and advertise the game itself or promote a new game event (eg. Dead Heat Summer Race! for summer 2017). The animation is unique to these commercials and is not present in the mobile game nor in the TV special of Fate/Grand Order.,7.5,1631.0,3438,29553,4911,white,2017-08-05T21:51:54+00:00,2022-03-20T06:51:33+00:00,special,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}]",0,"{'year': 2014, 'season': 'fall'}",,game,15,pg,,"[{'id': 1087, 'name': 'Lay-duce'}]","{'status': {'watching': '8337', 'completed': '4', 'on_hold': '1675', 'dropped': '1033', 'plan_to_watch': '18503'}, 'num_list_users': 29552}",19
49587,Wan Sheng Jie 3,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1995/117071.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1995/117071l.jpg'}",2022-01-26,2022-04-06,Third season of Wan Sheng Jie.,7.5,1658.0,9345,2268,226,white,2021-08-10T16:25:51+00:00,2022-03-12T07:20:56+00:00,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 6, 'name': 'Demons'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",12,"{'year': 2022, 'season': 'winter'}",,web_manga,0,pg_13,,[],"{'status': {'watching': '781', 'completed': 0, 'on_hold': '38', 'dropped': '23', 'plan_to_watch': '1426'}, 'num_list_users': 2268}",20
49571,Tunshi Xingkong 2nd Season,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1341/120304.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1341/120304l.jpg'}",2021-12-29,,,7.46,1788.0,11266,1059,212,white,2021-08-08T14:34:17+00:00,2022-03-21T12:57:42+00:00,ona,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 24, 'name': 'Sci-Fi'}]",52,"{'year': 2021, 'season': 'fall'}",,novel,1260,,,[],"{'status': {'watching': '578', 'completed': '1', 'on_hold': '24', 'dropped': '29', 'plan_to_watch': '427'}, 'num_list_users': 1059}",21
